draw_id,play,tier,pattern,numbers,note,winners,value
01383,,Jackpot 1,OOOOOO,,,0,68497890150
01383,,Jackpot 2,OOOOO|O,,,0,3337189100
01383,,Giải Nhất,OOOOO,,,29,40000000
01383,,Giải Nhì,OOOO,,,1448,500000
01383,,Giải Ba,OOO,,,26771,50000
01382,,Jackpot 1,OOOOOO,,,0,65463188250
01382,,Jackpot 2,OOOOO|O,,,1,3399666850
01382,,Giải Nhất,OOOOO,,,9,40000000
01382,,Giải Nhì,OOOO,,,993,500000
01382,,Giải Ba,OOO,,,22615,50000
01381,,Jackpot 1,OOOOOO,,,0,61866186600
01381,,Jackpot 2,OOOOO|O,,,1,3386451950
01381,,Giải Nhất,OOOOO,,,16,40000000
01381,,Giải Nhì,OOOO,,,858,500000
01381,,Giải Ba,OOO,,,19579,50000
01380,,Jackpot 1,OOOOOO,,,0,58388119050
01380,,Jackpot 2,OOOOO|O,,,1,4694567400
01380,,Giải Nhất,OOOOO,,,14,40000000
01380,,Giải Nhì,OOOO,,,928,500000
01380,,Giải Ba,OOO,,,19084,50000
01379,,Jackpot 1,OOOOOO,,,0,54705403650
01379,,Jackpot 2,OOOOO|O,,,0,4285376800
01379,,Giải Nhất,OOOOO,,,16,40000000
01379,,Giải Nhì,OOOO,,,643,500000
01379,,Giải Ba,OOO,,,15484,50000
01378,,Jackpot 1,OOOOOO,,,0,51543425100
01378,,Jackpot 2,OOOOO|O,,,0,3934045850
01378,,Giải Nhất,OOOOO,,,10,40000000
01378,,Giải Nhì,OOOO,,,896,500000
01378,,Giải Ba,OOO,,,18427,50000
01377,,Jackpot 1,OOOOOO,,,0,48676372500
01377,,Jackpot 2,OOOOO|O,,,0,3615484450
01377,,Giải Nhất,OOOOO,,,13,40000000
01377,,Giải Nhì,OOOO,,,1125,500000
01377,,Giải Ba,OOO,,,22816,50000
01376,,Jackpot 1,OOOOOO,,,0,45771312000
01376,,Jackpot 2,OOOOO|O,,,0,3292699950
01376,,Giải Nhất,OOOOO,,,15,40000000
01376,,Giải Nhì,OOOO,,,823,500000
01376,,Giải Ba,OOO,,,18471,50000
01375,,Jackpot 1,OOOOOO,,,0,43137012450
01375,,Jackpot 2,OOOOO|O,,,1,3873808750
01375,,Giải Nhất,OOOOO,,,8,40000000
01375,,Giải Nhì,OOOO,,,724,500000
01375,,Giải Ba,OOO,,,16009,50000
01374,,Jackpot 1,OOOOOO,,,0,40232457750
01374,,Jackpot 2,OOOOO|O,,,0,3551080450
01374,,Giải Nhất,OOOOO,,,16,40000000
01374,,Giải Nhì,OOOO,,,1188,500000
01374,,Giải Ba,OOO,,,22805,50000
01373,,Jackpot 1,OOOOOO,,,0,37959752100
01373,,Jackpot 2,OOOOO|O,,,0,3298557600
01373,,Giải Nhất,OOOOO,,,9,40000000
01373,,Giải Nhì,OOOO,,,556,500000
01373,,Giải Ba,OOO,,,11783,50000
01372,,Jackpot 1,OOOOOO,,,0,35272733700
01372,,Jackpot 2,OOOOO|O,,,1,3585859300
01372,,Giải Nhất,OOOOO,,,7,40000000
01372,,Giải Nhì,OOOO,,,503,500000
01372,,Giải Ba,OOO,,,11855,50000
01371,,Jackpot 1,OOOOOO,,,0,32743782300
01371,,Jackpot 2,OOOOO|O,,,0,3304864700
01371,,Giải Nhất,OOOOO,,,7,40000000
01371,,Giải Nhì,OOOO,,,715,500000
01371,,Giải Ba,OOO,,,15047,50000
01370,,Jackpot 1,OOOOOO,,,1,102862626150
01370,,Jackpot 2,OOOOO|O,,,1,4564759400
01370,,Giải Nhất,OOOOO,,,23,40000000
01370,,Giải Nhì,OOOO,,,1856,500000
01370,,Giải Ba,OOO,,,31612,50000
01369,,Jackpot 1,OOOOOO,,,0,93948863250
01369,,Jackpot 2,OOOOO|O,,,0,3574341300
01369,,Giải Nhất,OOOOO,,,22,40000000
01369,,Giải Nhì,OOOO,,,1409,500000
01369,,Giải Ba,OOO,,,30015,50000
01368,,Jackpot 1,OOOOOO,,,0,88779791550
01368,,Jackpot 2,OOOOO|O,,,1,3643241150
01368,,Giải Nhất,OOOOO,,,22,40000000
01368,,Giải Nhì,OOOO,,,1432,500000
01368,,Giải Ba,OOO,,,30330,50000
01367,,Jackpot 1,OOOOOO,,,0,82990621200
01367,,Jackpot 2,OOOOO|O,,,2,4144392125
01367,,Giải Nhất,OOOOO,,,27,40000000
01367,,Giải Nhì,OOOO,,,1441,500000
01367,,Giải Ba,OOO,,,27255,50000
01366,,Jackpot 1,OOOOOO,,,0,75980220150
01366,,Jackpot 2,OOOOO|O,,,0,7509850800
01366,,Giải Nhất,OOOOO,,,30,40000000
01366,,Giải Nhì,OOOO,,,1178,500000
01366,,Giải Ba,OOO,,,24357,50000
01365,,Jackpot 1,OOOOOO,,,0,69684349800
01365,,Jackpot 2,OOOOO|O,,,0,6810309650
01365,,Giải Nhất,OOOOO,,,18,40000000
01365,,Giải Nhì,OOOO,,,1392,500000
01365,,Giải Ba,OOO,,,27085,50000
01364,,Jackpot 1,OOOOOO,,,0,65500444650
01364,,Jackpot 2,OOOOO|O,,,0,6345431300
01364,,Giải Nhất,OOOOO,,,11,40000000
01364,,Giải Nhì,OOOO,,,1135,500000
01364,,Giải Ba,OOO,,,22344,50000
01363,,Jackpot 1,OOOOOO,,,0,62216897700
01363,,Jackpot 2,OOOOO|O,,,0,5980592750
01363,,Giải Nhất,OOOOO,,,19,40000000
01363,,Giải Nhì,OOOO,,,1026,500000
01363,,Giải Ba,OOO,,,20258,50000
01362,,Jackpot 1,OOOOOO,,,0,59527157700
01362,,Jackpot 2,OOOOO|O,,,0,5681732750
01362,,Giải Nhất,OOOOO,,,15,40000000
01362,,Giải Nhì,OOOO,,,715,500000
01362,,Giải Ba,OOO,,,18057,50000
01361,,Jackpot 1,OOOOOO,,,0,56004290850
01361,,Jackpot 2,OOOOO|O,,,0,5290303100
01361,,Giải Nhất,OOOOO,,,4,40000000
01361,,Giải Nhì,OOOO,,,786,500000
01361,,Giải Ba,OOO,,,18241,50000
01360,,Jackpot 1,OOOOOO,,,0,52693539150
01360,,Jackpot 2,OOOOO|O,,,0,4922441800
01360,,Giải Nhất,OOOOO,,,8,40000000
01360,,Giải Nhì,OOOO,,,592,500000
01360,,Giải Ba,OOO,,,14045,50000
01359,,Jackpot 1,OOOOOO,,,0,49498635450
01359,,Jackpot 2,OOOOO|O,,,0,4567452500
01359,,Giải Nhất,OOOOO,,,6,40000000
01359,,Giải Nhì,OOOO,,,925,500000
01359,,Giải Ba,OOO,,,19020,50000
01358,,Jackpot 1,OOOOOO,,,0,46360660800
01358,,Jackpot 2,OOOOO|O,,,0,4218788650
01358,,Giải Nhất,OOOOO,,,19,40000000
01358,,Giải Nhì,OOOO,,,895,500000
01358,,Giải Ba,OOO,,,17552,50000
01357,,Jackpot 1,OOOOOO,,,0,44082482700
01357,,Jackpot 2,OOOOO|O,,,0,3965657750
01357,,Giải Nhất,OOOOO,,,11,40000000
01357,,Giải Nhì,OOOO,,,855,500000
01357,,Giải Ba,OOO,,,14417,50000
01356,,Jackpot 1,OOOOOO,,,0,41504451150
01356,,Jackpot 2,OOOOO|O,,,0,3679209800
01356,,Giải Nhất,OOOOO,,,17,40000000
01356,,Giải Nhì,OOOO,,,1078,500000
01356,,Giải Ba,OOO,,,20777,50000
01355,,Jackpot 1,OOOOOO,,,0,39411370650
01355,,Jackpot 2,OOOOO|O,,,0,3446645300
01355,,Giải Nhất,OOOOO,,,11,40000000
01355,,Giải Nhì,OOOO,,,854,500000
01355,,Giải Ba,OOO,,,16434,50000
01354,,Jackpot 1,OOOOOO,,,0,37228693800
01354,,Jackpot 2,OOOOO|O,,,0,3204125650
01354,,Giải Nhất,OOOOO,,,12,40000000
01354,,Giải Nhì,OOOO,,,721,500000
01354,,Giải Ba,OOO,,,14504,50000
01353,,Jackpot 1,OOOOOO,,,0,35391562950
01353,,Jackpot 2,OOOOO|O,,,1,3282490100
01353,,Giải Nhất,OOOOO,,,4,40000000
01353,,Giải Nhì,OOOO,,,567,500000
01353,,Giải Ba,OOO,,,13486,50000
01352,,Jackpot 1,OOOOOO,,,0,32849152050
01352,,Jackpot 2,OOOOO|O,,,1,3316572450
01352,,Giải Nhất,OOOOO,,,19,40000000
01352,,Giải Nhì,OOOO,,,822,500000
01352,,Giải Ba,OOO,,,14194,50000
01351,,Jackpot 1,OOOOOO,,,0,31561236300
01351,,Jackpot 2,OOOOO|O,,,0,3173470700
01351,,Giải Nhất,OOOOO,,,10,40000000
01351,,Giải Nhì,OOOO,,,570,500000
01351,,Giải Ba,OOO,,,11666,50000
01350,,Jackpot 1,OOOOOO,,,1,83319176100
01350,,Jackpot 2,OOOOO|O,,,2,2978682275
01350,,Giải Nhất,OOOOO,,,32,40000000
