draw_id,date,numbers,bonus
01383,2026-08-11,2 7 19 20 39 50,31
01382,2026-08-08,5 29 33 38 40 45,37
01381,2026-08-06,14 18 23 35 51 55,1
01380,2026-08-04,14 39 40 42 47 54,31
01379,2026-08-01,11 14 16 44 49 55,39
01378,2026-07-30,2 12 24 28 43 49,51
01377,2026-07-28,7 22 23 27 41 44,48
01376,2026-07-25,5 9 27 33 37 50,48
01375,2026-07-23,1 3 8 38 40 55,36
01374,2026-07-21,8 11 22 24 32 39,13
01373,2026-07-18,22 41 45 48 54 55,16
01372,2026-07-16,19 20 33 45 48 53,21
01371,2026-07-14,10 24 30 35 45 51,33
01370,2026-07-11,9 17 20 33 41 42,40
01369,2026-07-09,2 9 10 14 17 49,45
01368,2026-07-07,4 6 25 32 33 44,8
01367,2026-07-04,13 15 18 23 31 43,41
01366,2026-07-02,5 11 28 34 41 42,49
01365,2026-06-30,5 13 18 22 43 44,47
01364,2026-06-27,7 16 21 23 28 52,54
01363,2026-06-25,1 3 8 15 35 55,23
01362,2026-06-23,1 13 28 38 40 46,5
01361,2026-06-20,16 23 26 30 52 53,46
01360,2026-06-18,1 4 14 20 46 49,36
01359,2026-06-16,2 4 5 7 31 40,14
01358,2026-06-13,2 8 19 33 36 47,42
01357,2026-06-11,1 8 17 24 40 48,46
01356,2026-06-09,6 8 18 27 32 34,35
01355,2026-06-06,3 11 16 37 39 41,28
01354,2026-06-04,23 24 28 29 39 43,45
01353,2026-06-02,1 3 5 16 37 51,42
01352,2026-05-30,2 8 20 24 25 42,44
01351,2026-05-28,8 11 21 25 31 53,54
01350,2026-05-26,1 14 15 19 23 34,29
01349,2026-05-23,17 21 22 27 38 49,3
01348,2026-05-21,16 18 20 28 32 34,40
01347,2026-05-19,12 39 40 45 48 53,21
01346,2026-05-16,8 25 32 36 39 47,50
01345,2026-05-14,26 28 39 41 48 55,50
01344,2026-05-12,2 11 22 26 31 38,15
01343,2026-05-09,3 10 32 37 45 55,46
01342,2026-05-07,13 14 33 44 46 50,47
01341,2026-05-05,4 6 8 17 30 50,32
01340,2026-05-02,9 21 22 26 33 51,17
01339,2026-04-30,9 15 21 25 29 50,16
01338,2026-04-28,24 25 34 51 52 53,35
01337,2026-04-25,4 7 10 29 41 46,43
01336,2026-04-23,5 16 17 22 33 53,55
01335,2026-04-21,8 30 36 39 50 53,15
01334,2026-04-18,9 19 20 28 37 39,24
01333,2026-04-16,2 7 15 22 47 52,55
01332,2026-04-14,8 16 22 35 39 47,28
01331,2026-04-11,13 26 29 38 49 53,7
01330,2026-04-09,16 18 22 29 41 53,38
01329,2026-04-07,1 13 23 31 44 53,32
01328,2026-04-04,5 7 10 23 30 54,40
01327,2026-04-02,9 21 32 34 52 53,22
01326,2026-03-31,15 16 22 38 43 48,11
01325,2026-03-28,7 13 21 30 33 42,39
01324,2026-03-26,3 9 10 34 38 44,51
01323,2026-03-24,12 19 25 26 32 45,3
01322,2026-03-21,1 6 40 43 47 53,3
01321,2026-03-19,7 9 17 31 34 36,55
01320,2026-03-17,12 26 28 43 50 54,52
01319,2026-03-14,7 16 27 29 47 52,26
01318,2026-03-12,12 28 36 40 53 55,54
01317,2026-03-10,3 26 31 39 47 54,20
01316,2026-03-07,4 32 41 45 50 52,29
01315,2026-03-05,14 16 35 38 43 51,37
01314,2026-03-03,7 13 27 29 43 50,25
01313,2026-02-28,22 25 31 44 51 54,36
01312,2026-02-26,1 7 10 21 44 51,46
01311,2026-02-24,5 8 18 30 39 54,51
01310,2026-02-21,5 7 26 30 41 45,12
01309,2026-02-19,1 27 30 43 45 46,48
01308,2026-02-14,2 13 26 32 36 42,48
01307,2026-02-12,8 17 19 31 32 46,26
01306,2026-02-10,13 21 22 26 32 55,20
01305,2026-02-07,3 5 13 15 29 46,1
01304,2026-02-05,7 13 16 25 26 55,9
01303,2026-02-03,12 15 18 22 48 53,45
01302,2026-01-31,10 11 14 17 49 53,4
01301,2026-01-29,11 15 22 32 34 54,28
01300,2026-01-27,13 22 32 42 53 54,29
01299,2026-01-24,14 24 25 30 35 53,18
01298,2026-01-22,2 20 21 29 36 50,5
01297,2026-01-20,4 20 26 28 37 41,32
01296,2026-01-17,14 21 23 25 46 48,54
01295,2026-01-15,13 21 31 34 48 55,27
01294,2026-01-13,3 12 25 51 52 55,43
01293,2026-01-10,9 16 30 33 34 38,49
01292,2026-01-08,20 22 36 43 45 50,47
01291,2026-01-06,22 28 29 30 34 47,20
01290,2026-01-03,10 16 17 23 33 36,42
01289,2026-01-01,5 16 29 33 39 42,54
01288,2025-12-30,11 30 35 41 48 55,38
01287,2025-12-27,16 21 30 37 39 40,13
01286,2025-12-25,4 6 32 37 40 48,38
01285,2025-12-23,2 10 16 25 32 38,3
01284,2025-12-20,22 32 33 35 40 41,23
01283,2025-12-18,12 14 29 30 39 55,50
01282,2025-12-16,7 36 37 38 52 55,46
01281,2025-12-13,5 8 12 18 20 38,52
01280,2025-12-11,9 13 21 45 48 55,38
01279,2025-12-09,14 21 26 27 31 43,42
01278,2025-12-06,12 26 34 37 50 52,15
01277,2025-12-04,10 29 32 33 44 53,14
01276,2025-12-02,16 20 24 36 51 54,10
01275,2025-11-29,4 20 24 27 40 48,9
01274,2025-11-27,4 5 10 11 28 35,38
01273,2025-11-25,23 31 32 42 46 48,4
01272,2025-11-22,8 10 19 29 34 46,14
01271,2025-11-20,3 12 19 20 31 42,13
01270,2025-11-18,7 12 18 22 30 49,5
01269,2025-11-15,2 30 33 35 42 54,45
01268,2025-11-13,1 15 30 38 40 43,13
01267,2025-11-11,11 20 28 41 47 54,31
01266,2025-11-08,14 16 19 22 27 44,18
01265,2025-11-06,16 20 29 33 36 49,6
01264,2025-11-04,15 27 29 31 36 43,38
01263,2025-11-01,7 11 28 29 31 33,8
01262,2025-10-30,20 23 35 41 47 55,37
01261,2025-10-28,6 8 10 22 25 54,9
01260,2025-10-25,3 5 11 13 24 27,45
01259,2025-10-23,8 10 21 48 49 50,40
01258,2025-10-21,3 11 12 14 22 40,41
01257,2025-10-18,5 16 19 21 38 43,50
01256,2025-10-16,14 15 24 26 27 45,36
01255,2025-10-14,8 9 16 26 37 55,12
01254,2025-10-11,3 7 26 43 44 46,25
01253,2025-10-09,7 11 21 22 39 42,40
01252,2025-10-07,19 22 35 37 43 45,29
01251,2025-10-04,22 33 35 36 38 40,7
01250,2025-10-02,1 2 20 24 27 42,43
01249,2025-09-30,17 23 34 39 46 52,8
01248,2025-09-27,8 13 19 24 39 46,1
01247,2025-09-25,5 17 30 31 38 53,8
01246,2025-09-23,8 18 19 34 41 46,38
01245,2025-09-20,8 13 14 19 36 43,30
01244,2025-09-18,2 3 8 27 38 55,20
01243,2025-09-16,17 19 28 39 43 53,33
01242,2025-09-13,2 7 15 18 24 27,45
01241,2025-09-11,6 16 46 49 51 55,42
01240,2025-09-09,16 20 21 31 40 52,2
01239,2025-09-06,9 11 19 22 34 43,31
01238,2025-09-04,9 19 23 42 49 53,40
01237,2025-09-02,9 16 22 25 30 51,43
01236,2025-08-30,2 17 19 24 30 44,34
01235,2025-08-28,6 13 28 30 35 52,50
01234,2025-08-26,22 30 38 44 48 55,5
01233,2025-08-23,1 9 26 34 44 50,52
01232,2025-08-21,5 9 17 35 40 41,44
01231,2025-08-19,1 14 31 34 36 47,45
01230,2025-08-16,14 23 32 36 47 48,5
01229,2025-08-14,6 10 17 18 32 35,53
01228,2025-08-12,1 6 24 37 40 55,10
01227,2025-08-09,5 9 16 36 43 51,19
01226,2025-08-07,6 24 31 32 39 48,52
01225,2025-08-05,8 41 45 51 52 53,31
01224,2025-08-02,12 24 29 33 34 35,47
01223,2025-07-31,5 17 31 42 46 49,37
01222,2025-07-29,4 8 23 43 45 51,48
01221,2025-07-26,5 26 28 29 33 54,34
01220,2025-07-24,5 10 24 29 30 34,45
01219,2025-07-22,9 10 15 28 33 44,22
01218,2025-07-19,8 9 20 36 39 44,28
01217,2025-07-17,13 18 33 40 48 53,54
01216,2025-07-15,18 26 31 32 36 48,30
01215,2025-07-12,2 34 39 41 45 52,51
01214,2025-07-10,12 33 34 42 44 53,3
01213,2025-07-08,23 24 32 42 48 50,31
01212,2025-07-05,3 15 22 45 51 55,54
01211,2025-07-03,18 19 29 31 45 54,27
01210,2025-07-01,3 11 12 14 27 33,15
01209,2025-06-28,8 11 13 20 45 50,25
01208,2025-06-26,1 14 16 27 40 51,2
01207,2025-06-24,3 9 18 20 30 53,48
01206,2025-06-21,6 10 15 43 44 53,32
01205,2025-06-19,3 5 9 10 16 47,34
01204,2025-06-17,7 13 18 22 32 44,43
01203,2025-06-14,11 12 22 26 41 47,24
01202,2025-06-12,6 8 16 18 34 44,17
01201,2025-06-10,3 6 21 29 40 41,37
01200,2025-06-07,12 17 21 46 48 52,45
01199,2025-06-05,14 21 33 37 46 49,34
01198,2025-06-03,2 11 14 16 27 38,51
01197,2025-05-31,6 24 41 45 49 55,8
01196,2025-05-29,9 37 42 45 46 50,14
01195,2025-05-27,4 12 18 19 44 48,42
01194,2025-05-24,19 20 27 30 45 55,15
01193,2025-05-22,3 9 14 41 47 55,22
01192,2025-05-20,19 27 44 45 47 52,15
01191,2025-05-17,2 7 26 29 41 50,43
01190,2025-05-15,6 9 13 44 49 54,47
01189,2025-05-13,3 7 24 39 54 55,42
01188,2025-05-10,7 16 19 28 34 51,15
01187,2025-05-08,8 14 29 37 39 50,21
01186,2025-05-06,12 16 25 28 30 39,5
01185,2025-05-03,15 19 21 26 42 47,38
01184,2025-05-01,3 17 19 41 45 50,43
01183,2025-04-29,14 15 18 23 28 33,29
01182,2025-04-26,3 15 16 31 48 52,21
01181,2025-04-24,1 2 15 39 40 47,24
01180,2025-04-22,10 25 37 40 41 48,32
01179,2025-04-19,5 11 15 32 42 49,43
01178,2025-04-17,1 17 20 38 41 52,14
01177,2025-04-15,8 23 24 27 42 49,20
01176,2025-04-12,3 14 19 37 42 55,23
01175,2025-04-10,10 13 36 37 40 43,41
01174,2025-04-08,3 7 34 41 43 53,31
01173,2025-04-05,13 23 29 32 41 42,9
01172,2025-04-03,24 26 34 42 50 51,30
01171,2025-04-01,14 15 29 33 39 47,4
01170,2025-03-29,14 19 21 24 26 48,39
01169,2025-03-27,13 25 32 36 41 53,29
01168,2025-03-25,14 23 29 30 35 40,17
01167,2025-03-22,2 23 42 50 52 54,44
01166,2025-03-20,11 13 24 28 36 41,37
01165,2025-03-18,2 8 29 30 50 55,27
01164,2025-03-15,1 34 39 40 42 50,25
01163,2025-03-13,7 13 21 43 52 53,17
01162,2025-03-11,1 16 18 30 31 44,34
01161,2025-03-08,10 38 41 43 45 48,8
01160,2025-03-06,5 10 21 26 43 51,15
01159,2025-03-04,5 14 27 43 45 53,47
01158,2025-03-01,15 17 34 37 39 45,41
01157,2025-02-27,5 9 21 31 43 53,11
01156,2025-02-25,1 7 11 24 29 30,48
01155,2025-02-22,1 2 7 22 23 46,50
01154,2025-02-20,13 17 20 27 36 54,47
01153,2025-02-18,12 13 30 38 40 47,42
01152,2025-02-15,22 37 38 47 51 55,31
01151,2025-02-13,2 8 23 26 42 47,7
01150,2025-02-11,1 9 18 21 35 40,44
01149,2025-02-08,11 22 28 44 48 49,23
01148,2025-02-06,1 11 31 43 48 54,19
01147,2025-02-04,7 17 29 51 52 55,41
01146,2025-02-01,1 20 34 38 45 47,49
01145,2025-01-30,5 8 24 28 34 52,39
01144,2025-01-25,14 21 40 42 48 51,19
01143,2025-01-23,11 18 22 49 50 51,37
01142,2025-01-21,11 18 22 28 51 52,53
01141,2025-01-18,1 3 26 31 37 41,51
01140,2025-01-16,8 16 34 37 47 50,23
01139,2025-01-14,3 11 12 24 33 40,46
01138,2025-01-11,10 25 26 29 37 46,14
01137,2025-01-09,18 21 31 39 50 53,13
01136,2025-01-07,4 5 9 16 22 39,30
01135,2025-01-04,4 10 30 36 40 53,51
01134,2025-01-02,4 10 18 22 41 45,50
01133,2024-12-31,8 13 29 36 42 43,28
01132,2024-12-28,6 19 36 42 53 55,39
01131,2024-12-26,6 18 33 38 41 48,16
