draw_id,play,tier,pattern,numbers,note,winners,value
01118,d3,Giải Đặc biệt,,984 935,,47,1000000
01118,d3,Giải Nhất,,839 402 801 791,,37,350000
01118,d3,Giải Nhì,,884 475 732 530 960 080,,130,210000
01118,d3,Giải Ba,,429 508 492 559 500 520 306 095,,132,100000
01118,d6,Giải Đặc biệt,,984 935 935 984,,0,1000000000
01118,d6,Giải Nhất,,839 402 801 791,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,1,40000000
01118,d6,Giải Nhì,,884 475 732 530 960 080,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,5,10000000
01118,d6,Giải Ba,,429 508 492 559 500 520 306 095,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,2,5000000
01118,d6,Giải tư,,984 935 839 402 801 791 884 475 732 530 960 080 429 508 492 559 500 520 306 095,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,24,1000000
01118,d6,Giải năm,,984 935,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,315,150000
01118,d6,Giải sáu,,839 402 801 791 884 475 732 530 960 080 429 508 492 559 500 520 306 095,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,3413,40000
01117,d3,Giải Đặc biệt,,476 882,,61,1000000
01117,d3,Giải Nhất,,305 356 808 673,,86,350000
01117,d3,Giải Nhì,,263 148 681 621 545 157,,159,210000
01117,d3,Giải Ba,,688 958 824 281 244 457 998 375,,189,100000
01117,d6,Giải Đặc biệt,,476 882 882 476,,1,1000000000
01117,d6,Giải Nhất,,305 356 808 673,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,0,40000000
01117,d6,Giải Nhì,,263 148 681 621 545 157,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,7,10000000
01117,d6,Giải Ba,,688 958 824 281 244 457 998 375,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,7,5000000
01117,d6,Giải tư,,476 882 305 356 808 673 263 148 681 621 545 157 688 958 824 281 244 457 998 375,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,50,1000000
01117,d6,Giải năm,,476 882,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,456,150000
01117,d6,Giải sáu,,305 356 808 673 263 148 681 621 545 157 688 958 824 281 244 457 998 375,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,5273,40000
01116,d3,Giải Đặc biệt,,464 547,,23,1000000
01116,d3,Giải Nhất,,914 859 027 270,,134,350000
01116,d3,Giải Nhì,,055 574 128 587 373 702,,189,210000
01116,d3,Giải Ba,,769 474 690 063 842 605 527 586,,216,100000
01116,d6,Giải Đặc biệt,,464 547 547 464,,3,1000000000
01116,d6,Giải Nhất,,914 859 027 270,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,0,40000000
01116,d6,Giải Nhì,,055 574 128 587 373 702,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,0,10000000
01116,d6,Giải Ba,,769 474 690 063 842 605 527 586,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,5,5000000
01116,d6,Giải tư,,464 547 914 859 027 270 055 574 128 587 373 702 769 474 690 063 842 605 527 586,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,47,1000000
01116,d6,Giải năm,,464 547,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,414,150000
01116,d6,Giải sáu,,914 859 027 270 055 574 128 587 373 702 769 474 690 063 842 605 527 586,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,3811,40000
01115,d3,Giải Đặc biệt,,302 386,,48,1000000
01115,d3,Giải Nhất,,681 273 031 990,,56,350000
01115,d3,Giải Nhì,,333 029 893 508 137 300,,103,210000
01115,d3,Giải Ba,,062 017 296 009 702 723 064 593,,143,100000
01115,d6,Giải Đặc biệt,,302 386 386 302,,0,1000000000
01115,d6,Giải Nhất,,681 273 031 990,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,0,40000000
01115,d6,Giải Nhì,,333 029 893 508 137 300,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,1,10000000
01115,d6,Giải Ba,,062 017 296 009 702 723 064 593,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,4,5000000
01115,d6,Giải tư,,302 386 681 273 031 990 333 029 893 508 137 300 062 017 296 009 702 723 064 593,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,23,1000000
01115,d6,Giải năm,,302 386,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,567,150000
01115,d6,Giải sáu,,681 273 031 990 333 029 893 508 137 300 062 017 296 009 702 723 064 593,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,3079,40000
01114,d3,Giải Đặc biệt,,268 568,,82,1000000
01114,d3,Giải Nhất,,351 979 231 691,,123,350000
01114,d3,Giải Nhì,,973 102 063 537 359 727,,89,210000
01114,d3,Giải Ba,,845 548 123 502 052 124 635 850,,274,100000
01114,d6,Giải Đặc biệt,,268 568 568 268,,3,1000000000
01114,d6,Giải Nhất,,351 979 231 691,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,0,40000000
01114,d6,Giải Nhì,,973 102 063 537 359 727,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,5,10000000
01114,d6,Giải Ba,,845 548 123 502 052 124 635 850,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,5,5000000
01114,d6,Giải tư,,268 568 351 979 231 691 973 102 063 537 359 727 845 548 123 502 052 124 635 850,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,41,1000000
01114,d6,Giải năm,,268 568,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,809,150000
01114,d6,Giải sáu,,351 979 231 691 973 102 063 537 359 727 845 548 123 502 052 124 635 850,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,4839,40000
01113,d3,Giải Đặc biệt,,133 706,,61,1000000
01113,d3,Giải Nhất,,413 123 179 393,,117,350000
01113,d3,Giải Nhì,,752 873 003 589 746 083,,64,210000
01113,d3,Giải Ba,,819 172 783 083 200 549 803 223,,176,100000
01113,d6,Giải Đặc biệt,,133 706 706 133,,0,1000000000
01113,d6,Giải Nhất,,413 123 179 393,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,0,40000000
01113,d6,Giải Nhì,,752 873 003 589 746 083,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,6,10000000
01113,d6,Giải Ba,,819 172 783 083 200 549 803 223,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,9,5000000
01113,d6,Giải tư,,133 706 413 123 179 393 752 873 003 589 746 083 819 172 783 083 200 549 803 223,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,47,1000000
01113,d6,Giải năm,,133 706,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,341,150000
01113,d6,Giải sáu,,413 123 179 393 752 873 003 589 746 083 819 172 783 083 200 549 803 223,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,3894,40000
01112,d3,Giải Đặc biệt,,984 633,,44,1000000
01112,d3,Giải Nhất,,411 316 354 883,,90,350000
01112,d3,Giải Nhì,,074 485 381 512 926 446,,105,210000
01112,d3,Giải Ba,,323 893 626 896 393 560 523 768,,95,100000
01112,d6,Giải Đặc biệt,,984 633 633 984,,0,1000000000
01112,d6,Giải Nhất,,411 316 354 883,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,0,40000000
01112,d6,Giải Nhì,,074 485 381 512 926 446,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,2,10000000
01112,d6,Giải Ba,,323 893 626 896 393 560 523 768,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,3,5000000
01112,d6,Giải tư,,984 633 411 316 354 883 074 485 381 512 926 446 323 893 626 896 393 560 523 768,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,29,1000000
