draw_id,date,prize,number,slot
01118,2026-08-12,Giải ba,429,0
01118,2026-08-12,Giải ba,508,1
01118,2026-08-12,Giải ba,492,2
01118,2026-08-12,Giải ba,559,3
01118,2026-08-12,Giải ba,500,4
01118,2026-08-12,Giải ba,520,5
01118,2026-08-12,Giải ba,306,6
01118,2026-08-12,Giải ba,095,7
01118,2026-08-12,Giải Đặc biệt,984,0
01118,2026-08-12,Giải Đặc biệt,935,1
01118,2026-08-12,Giải Nhất,839,0
01118,2026-08-12,Giải Nhất,402,1
01118,2026-08-12,Giải Nhất,801,2
01118,2026-08-12,Giải Nhất,791,3
01118,2026-08-12,Giải Nhì,884,0
01118,2026-08-12,Giải Nhì,475,1
01118,2026-08-12,Giải Nhì,732,2
01118,2026-08-12,Giải Nhì,530,3
01118,2026-08-12,Giải Nhì,960,4
01118,2026-08-12,Giải Nhì,080,5
01117,2026-08-10,Giải ba,688,0
01117,2026-08-10,Giải ba,958,1
01117,2026-08-10,Giải ba,824,2
01117,2026-08-10,Giải ba,281,3
01117,2026-08-10,Giải ba,244,4
01117,2026-08-10,Giải ba,457,5
01117,2026-08-10,Giải ba,998,6
01117,2026-08-10,Giải ba,375,7
01117,2026-08-10,Giải Đặc biệt,476,0
01117,2026-08-10,Giải Đặc biệt,882,1
01117,2026-08-10,Giải Nhất,305,0
01117,2026-08-10,Giải Nhất,356,1
01117,2026-08-10,Giải Nhất,808,2
01117,2026-08-10,Giải Nhất,673,3
01117,2026-08-10,Giải Nhì,263,0
01117,2026-08-10,Giải Nhì,148,1
01117,2026-08-10,Giải Nhì,681,2
01117,2026-08-10,Giải Nhì,621,3
01117,2026-08-10,Giải Nhì,545,4
01117,2026-08-10,Giải Nhì,157,5
01116,2026-08-07,Giải ba,769,0
01116,2026-08-07,Giải ba,474,1
01116,2026-08-07,Giải ba,690,2
01116,2026-08-07,Giải ba,063,3
01116,2026-08-07,Giải ba,842,4
01116,2026-08-07,Giải ba,605,5
01116,2026-08-07,Giải ba,527,6
01116,2026-08-07,Giải ba,586,7
01116,2026-08-07,Giải Đặc biệt,464,0
01116,2026-08-07,Giải Đặc biệt,547,1
01116,2026-08-07,Giải Nhất,914,0
01116,2026-08-07,Giải Nhất,859,1
01116,2026-08-07,Giải Nhất,027,2
01116,2026-08-07,Giải Nhất,270,3
01116,2026-08-07,Giải Nhì,055,0
01116,2026-08-07,Giải Nhì,574,1
01116,2026-08-07,Giải Nhì,128,2
01116,2026-08-07,Giải Nhì,587,3
01116,2026-08-07,Giải Nhì,373,4
01116,2026-08-07,Giải Nhì,702,5
01115,2026-08-05,Giải ba,062,0
01115,2026-08-05,Giải ba,017,1
01115,2026-08-05,Giải ba,296,2
01115,2026-08-05,Giải ba,009,3
01115,2026-08-05,Giải ba,702,4
01115,2026-08-05,Giải ba,723,5
01115,2026-08-05,Giải ba,064,6
01115,2026-08-05,Giải ba,593,7
01115,2026-08-05,Giải Đặc biệt,302,0
01115,2026-08-05,Giải Đặc biệt,386,1
01115,2026-08-05,Giải Nhất,681,0
01115,2026-08-05,Giải Nhất,273,1
01115,2026-08-05,Giải Nhất,031,2
01115,2026-08-05,Giải Nhất,990,3
01115,2026-08-05,Giải Nhì,333,0
01115,2026-08-05,Giải Nhì,029,1
01115,2026-08-05,Giải Nhì,893,2
01115,2026-08-05,Giải Nhì,508,3
01115,2026-08-05,Giải Nhì,137,4
01115,2026-08-05,Giải Nhì,300,5
01114,2026-08-03,Giải ba,845,0
01114,2026-08-03,Giải ba,548,1
01114,2026-08-03,Giải ba,123,2
01114,2026-08-03,Giải ba,502,3
01114,2026-08-03,Giải ba,052,4
01114,2026-08-03,Giải ba,124,5
01114,2026-08-03,Giải ba,635,6
01114,2026-08-03,Giải ba,850,7
01114,2026-08-03,Giải Đặc biệt,268,0
01114,2026-08-03,Giải Đặc biệt,568,1
01114,2026-08-03,Giải Nhất,351,0
01114,2026-08-03,Giải Nhất,979,1
01114,2026-08-03,Giải Nhất,231,2
01114,2026-08-03,Giải Nhất,691,3
01114,2026-08-03,Giải Nhì,973,0
01114,2026-08-03,Giải Nhì,102,1
01114,2026-08-03,Giải Nhì,063,2
01114,2026-08-03,Giải Nhì,537,3
01114,2026-08-03,Giải Nhì,359,4
