draw_id,play,tier,pattern,numbers,note,winners,value
00765,d6,Giải Đặc biệt,,273 166,,0,2000000000
00765,d6,Giải phụ Đặc biệt,,166 273,,0,400000000
00765,d6,Giải Nhất,,171 549 956 623,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,10,30000000
00765,d6,Giải Nhì,,316 168 821 014 894 352,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,9,10000000
00765,d6,Giải Ba,,269 324 676 556 313 214 134 749,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,15,4000000
00765,d6,Giải tư,,273 166 171 549 956 623 316 168 821 014 894 352 269 324 676 556 313 214 134 749,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,84,1000000
00765,d6,Giải năm,,273 166,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,743,100000
00765,d6,Giải sáu,,171 549 956 623 316 168 821 014 894 352 269 324 676 556 313 214 134 749,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,6771,40000
00764,d6,Giải Đặc biệt,,712 106,,0,2000000000
00764,d6,Giải phụ Đặc biệt,,106 712,,0,400000000
00764,d6,Giải Nhất,,430 059 771 643,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,2,30000000
00764,d6,Giải Nhì,,544 454 046 263 501 352,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,7,10000000
00764,d6,Giải Ba,,073 678 877 788 796 597 340 340,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,11,4000000
00764,d6,Giải tư,,712 106 430 059 771 643 544 454 046 263 501 352 073 678 877 788 796 597 340 340,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,59,1000000
00764,d6,Giải năm,,712 106,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,550,100000
00764,d6,Giải sáu,,430 059 771 643 544 454 046 263 501 352 073 678 877 788 796 597 340 340,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,5712,40000
00763,d6,Giải Đặc biệt,,700 499,,0,2000000000
00763,d6,Giải phụ Đặc biệt,,499 700,,0,400000000
00763,d6,Giải Nhất,,700 340 279 041,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,0,30000000
00763,d6,Giải Nhì,,960 925 595 057 332 985,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,6,10000000
00763,d6,Giải Ba,,236 683 465 015 734 729 159 953,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,4,4000000
00763,d6,Giải tư,,700 499 700 340 279 041 960 925 595 057 332 985 236 683 465 015 734 729 159 953,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,57,1000000
00763,d6,Giải năm,,700 499,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,346,100000
00763,d6,Giải sáu,,700 340 279 041 960 925 595 057 332 985 236 683 465 015 734 729 159 953,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,6062,40000
00762,d6,Giải Đặc biệt,,058 032,,0,2000000000
00762,d6,Giải phụ Đặc biệt,,032 058,,0,400000000
00762,d6,Giải Nhất,,087 294 562 191,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,6,30000000
00762,d6,Giải Nhì,,619 295 611 032 835 166,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,13,10000000
00762,d6,Giải Ba,,547 484 573 856 922 754 296 624,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,18,4000000
00762,d6,Giải tư,,058 032 087 294 562 191 619 295 611 032 835 166 547 484 573 856 922 754 296 624,Trùng 2 bộ ba số bất kỳ trong 20 bộ ba số,96,1000000
00762,d6,Giải năm,,058 032,Trùng 1 bộ ba số bất kỳ trong 2 bộ ba số,596,100000
00762,d6,Giải sáu,,087 294 562 191 619 295 611 032 835 166 547 484 573 856 922 754 296 624,Trùng 1 bộ ba số bất kỳ trong 18 bộ ba số,6400,40000
00761,d6,Giải Đặc biệt,,010 510,,0,2000000000
00761,d6,Giải phụ Đặc biệt,,510 010,,0,400000000
00761,d6,Giải Nhất,,698 840 185 647,Trùng 2 bộ ba số bất kỳ trong 4 bộ ba số,0,30000000
00761,d6,Giải Nhì,,284 714 339 166 214 182,Trùng 2 bộ ba số bất kỳ trong 6 bộ ba số,0,10000000
00761,d6,Giải Ba,,021 941 854 515 600 591 901 598,Trùng 2 bộ ba số bất kỳ trong 8 bộ ba số,12,4000000
