draw_id,date,prize,number,slot
00764,2026-08-11,Giải ba,073,0
00764,2026-08-11,Giải ba,678,1
00764,2026-08-11,Giải ba,877,2
00764,2026-08-11,Giải ba,788,3
00764,2026-08-11,Giải ba,796,4
00764,2026-08-11,Giải ba,597,5
00764,2026-08-11,Giải ba,340,6
00764,2026-08-11,Giải ba,340,7
00764,2026-08-11,Giải Đặc biệt,712,0
00764,2026-08-11,Giải Đặc biệt,106,1
00764,2026-08-11,Giải nhất,430,0
00764,2026-08-11,Giải nhất,059,1
00764,2026-08-11,Giải nhất,771,2
00764,2026-08-11,Giải nhất,643,3
00764,2026-08-11,Giải nhì,544,0
00764,2026-08-11,Giải nhì,454,1
00764,2026-08-11,Giải nhì,046,2
00764,2026-08-11,Giải nhì,263,3
00764,2026-08-11,Giải nhì,501,4
00764,2026-08-11,Giải nhì,352,5
00763,2026-08-08,Giải ba,236,0
00763,2026-08-08,Giải ba,683,1
00763,2026-08-08,Giải ba,465,2
00763,2026-08-08,Giải ba,015,3
00763,2026-08-08,Giải ba,734,4
00763,2026-08-08,Giải ba,729,5
00763,2026-08-08,Giải ba,159,6
00763,2026-08-08,Giải ba,953,7
00763,2026-08-08,Giải Đặc biệt,700,0
00763,2026-08-08,Giải Đặc biệt,499,1
00763,2026-08-08,Giải nhất,700,0
00763,2026-08-08,Giải nhất,340,1
00763,2026-08-08,Giải nhất,279,2
00763,2026-08-08,Giải nhất,041,3
00763,2026-08-08,Giải nhì,960,0
00763,2026-08-08,Giải nhì,925,1
00763,2026-08-08,Giải nhì,595,2
00763,2026-08-08,Giải nhì,057,3
00763,2026-08-08,Giải nhì,332,4
00763,2026-08-08,Giải nhì,985,5
00762,2026-08-06,Giải ba,547,0
00762,2026-08-06,Giải ba,484,1
00762,2026-08-06,Giải ba,573,2
00762,2026-08-06,Giải ba,856,3
00762,2026-08-06,Giải ba,922,4
00762,2026-08-06,Giải ba,754,5
00762,2026-08-06,Giải ba,296,6
00762,2026-08-06,Giải ba,624,7
00762,2026-08-06,Giải Đặc biệt,058,0
00762,2026-08-06,Giải Đặc biệt,032,1
00762,2026-08-06,Giải nhất,087,0
00762,2026-08-06,Giải nhất,294,1
00762,2026-08-06,Giải nhất,562,2
00762,2026-08-06,Giải nhất,191,3
00762,2026-08-06,Giải nhì,619,0
00762,2026-08-06,Giải nhì,295,1
00762,2026-08-06,Giải nhì,611,2
00762,2026-08-06,Giải nhì,032,3
00762,2026-08-06,Giải nhì,835,4
00762,2026-08-06,Giải nhì,166,5
00761,2026-08-04,Giải ba,021,0
00761,2026-08-04,Giải ba,941,1
00761,2026-08-04,Giải ba,854,2
00761,2026-08-04,Giải ba,515,3
00761,2026-08-04,Giải ba,600,4
00761,2026-08-04,Giải ba,591,5
00761,2026-08-04,Giải ba,901,6
00761,2026-08-04,Giải ba,598,7
00761,2026-08-04,Giải Đặc biệt,010,0
00761,2026-08-04,Giải Đặc biệt,510,1
00761,2026-08-04,Giải nhất,698,0
00761,2026-08-04,Giải nhất,840,1
00761,2026-08-04,Giải nhất,185,2
00761,2026-08-04,Giải nhất,647,3
00761,2026-08-04,Giải nhì,284,0
00761,2026-08-04,Giải nhì,714,1
00761,2026-08-04,Giải nhì,339,2
00761,2026-08-04,Giải nhì,166,3
00761,2026-08-04,Giải nhì,214,4
00761,2026-08-04,Giải nhì,182,5
00760,2026-08-01,Giải ba,571,0
00760,2026-08-01,Giải ba,794,1
00760,2026-08-01,Giải ba,881,2
00760,2026-08-01,Giải ba,129,3
00760,2026-08-01,Giải ba,804,4
00760,2026-08-01,Giải ba,686,5
00760,2026-08-01,Giải ba,941,6
00760,2026-08-01,Giải ba,374,7
00760,2026-08-01,Giải Đặc biệt,452,0
00760,2026-08-01,Giải Đặc biệt,600,1
00760,2026-08-01,Giải nhất,484,0
00760,2026-08-01,Giải nhất,745,1
00760,2026-08-01,Giải nhất,243,2
00760,2026-08-01,Giải nhất,256,3
00760,2026-08-01,Giải nhì,580,0
00760,2026-08-01,Giải nhì,006,1
00760,2026-08-01,Giải nhì,849,2
00760,2026-08-01,Giải nhì,538,3
00760,2026-08-01,Giải nhì,564,4
00760,2026-08-01,Giải nhì,451,5
00759,2026-07-30,Giải ba,625,0
00759,2026-07-30,Giải ba,224,1
00759,2026-07-30,Giải ba,316,2
00759,2026-07-30,Giải ba,089,3
00759,2026-07-30,Giải ba,339,4
00759,2026-07-30,Giải ba,606,5
00759,2026-07-30,Giải ba,287,6
00759,2026-07-30,Giải ba,262,7
00759,2026-07-30,Giải Đặc biệt,218,0
00759,2026-07-30,Giải Đặc biệt,463,1
00759,2026-07-30,Giải nhất,180,0
00759,2026-07-30,Giải nhất,340,1
00759,2026-07-30,Giải nhất,498,2
00759,2026-07-30,Giải nhất,482,3
00759,2026-07-30,Giải nhì,668,0
00759,2026-07-30,Giải nhì,842,1
00759,2026-07-30,Giải nhì,184,2
00759,2026-07-30,Giải nhì,284,3
00759,2026-07-30,Giải nhì,328,4
00759,2026-07-30,Giải nhì,437,5
00758,2026-07-28,Giải ba,578,0
00758,2026-07-28,Giải ba,035,1
00758,2026-07-28,Giải ba,812,2
00758,2026-07-28,Giải ba,301,3
00758,2026-07-28,Giải ba,856,4
00758,2026-07-28,Giải ba,841,5
00758,2026-07-28,Giải ba,932,6
00758,2026-07-28,Giải ba,362,7
00758,2026-07-28,Giải Đặc biệt,153,0
00758,2026-07-28,Giải Đặc biệt,238,1
00758,2026-07-28,Giải nhất,492,0
00758,2026-07-28,Giải nhất,155,1
00758,2026-07-28,Giải nhất,046,2
00758,2026-07-28,Giải nhất,838,3
00758,2026-07-28,Giải nhì,147,0
00758,2026-07-28,Giải nhì,016,1
00758,2026-07-28,Giải nhì,604,2
00758,2026-07-28,Giải nhì,027,3
00758,2026-07-28,Giải nhì,080,4
00758,2026-07-28,Giải nhì,674,5
00757,2026-07-25,Giải ba,825,0
00757,2026-07-25,Giải ba,161,1
00757,2026-07-25,Giải ba,939,2
00757,2026-07-25,Giải ba,035,3
00757,2026-07-25,Giải ba,217,4
00757,2026-07-25,Giải ba,890,5
00757,2026-07-25,Giải ba,199,6
00757,2026-07-25,Giải ba,294,7
00757,2026-07-25,Giải Đặc biệt,461,0
00757,2026-07-25,Giải Đặc biệt,587,1
00757,2026-07-25,Giải nhất,617,0
00757,2026-07-25,Giải nhất,677,1
00757,2026-07-25,Giải nhất,281,2
00757,2026-07-25,Giải nhất,974,3
00757,2026-07-25,Giải nhì,711,0
00757,2026-07-25,Giải nhì,207,1
00757,2026-07-25,Giải nhì,788,2
00757,2026-07-25,Giải nhì,306,3
00757,2026-07-25,Giải nhì,534,4
00757,2026-07-25,Giải nhì,229,5
00756,2026-07-23,Giải ba,658,0
00756,2026-07-23,Giải ba,317,1
00756,2026-07-23,Giải ba,102,2
00756,2026-07-23,Giải ba,787,3
00756,2026-07-23,Giải ba,978,4
00756,2026-07-23,Giải ba,070,5
00756,2026-07-23,Giải ba,495,6
00756,2026-07-23,Giải ba,121,7
00756,2026-07-23,Giải Đặc biệt,097,0
00756,2026-07-23,Giải Đặc biệt,939,1
00756,2026-07-23,Giải nhất,524,0
00756,2026-07-23,Giải nhất,948,1
00756,2026-07-23,Giải nhất,741,2
00756,2026-07-23,Giải nhất,401,3
00756,2026-07-23,Giải nhì,962,0
00756,2026-07-23,Giải nhì,572,1
00756,2026-07-23,Giải nhì,922,2
00756,2026-07-23,Giải nhì,862,3
00756,2026-07-23,Giải nhì,903,4
00756,2026-07-23,Giải nhì,088,5
00755,2026-07-21,Giải ba,879,0
00755,2026-07-21,Giải ba,300,1
00755,2026-07-21,Giải ba,213,2
00755,2026-07-21,Giải ba,274,3
00755,2026-07-21,Giải ba,664,4
00755,2026-07-21,Giải ba,424,5
00755,2026-07-21,Giải ba,703,6
00755,2026-07-21,Giải ba,497,7
00755,2026-07-21,Giải Đặc biệt,398,0
00755,2026-07-21,Giải Đặc biệt,723,1
00755,2026-07-21,Giải nhất,704,0
00755,2026-07-21,Giải nhất,848,1
00755,2026-07-21,Giải nhất,486,2
00755,2026-07-21,Giải nhất,961,3
00755,2026-07-21,Giải nhì,979,0
00755,2026-07-21,Giải nhì,324,1
00755,2026-07-21,Giải nhì,952,2
00755,2026-07-21,Giải nhì,443,3
00755,2026-07-21,Giải nhì,353,4
00755,2026-07-21,Giải nhì,719,5
00754,2026-07-18,Giải ba,334,0
00754,2026-07-18,Giải ba,238,1
00754,2026-07-18,Giải ba,603,2
00754,2026-07-18,Giải ba,621,3
00754,2026-07-18,Giải ba,240,4
00754,2026-07-18,Giải ba,117,5
00754,2026-07-18,Giải ba,672,6
00754,2026-07-18,Giải ba,736,7
00754,2026-07-18,Giải Đặc biệt,356,0
00754,2026-07-18,Giải Đặc biệt,163,1
00754,2026-07-18,Giải nhất,749,0
00754,2026-07-18,Giải nhất,183,1
00754,2026-07-18,Giải nhất,620,2
00754,2026-07-18,Giải nhất,039,3
00754,2026-07-18,Giải nhì,630,0
00754,2026-07-18,Giải nhì,110,1
00754,2026-07-18,Giải nhì,364,2
00754,2026-07-18,Giải nhì,206,3
00754,2026-07-18,Giải nhì,411,4
00754,2026-07-18,Giải nhì,853,5
00753,2026-07-16,Giải ba,431,0
00753,2026-07-16,Giải ba,292,1
00753,2026-07-16,Giải ba,369,2
00753,2026-07-16,Giải ba,833,3
00753,2026-07-16,Giải ba,835,4
00753,2026-07-16,Giải ba,166,5
00753,2026-07-16,Giải ba,366,6
